Target,Buyer,Seller,EUR Value (m),Announced,Completed,Revenue,EBITDA,EBIT,Earnings,Summary
SHS Viveon AG,Sidetrade SA,,6.56,16/04/2024,08/08/2024,6.56,0.6x,-,-,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
Naturgy Energy Group SA,Abu Dhabi National Energy Company PJSC,"CVC Advisers Ltd
Fundacion Bancaria Caixa d'Estalvis i Pensions de Barcelona - La Caixa
Global Infrastructure Management LLP","20,187.36",16/04/2024,,"20,187.36",0.8x,3.9x,5.2x,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
creditshelf AG,Teylor AG,,4.62,16/04/2024,06/05/2024,4.62,0.9x,-,-,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
Saes Getters SpA,SGG Holding SpA,,328.49,16/04/2024,09/07/2024,328.49,3.0x,-,-,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
T Clarke plc,REGENT ACQUISITIONS LIMITED,,77.72,16/04/2024,24/06/2024,77.72,0.1x,6.1x,8.3x,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
TGI Friday's Inc,Hostmore plc,TriArtisan Capital Advisors LLC,207.26,16/04/2024,,207.26,0.6x,5.4x,-,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
Bianor Holding,BlackPeak Capital,,6.80,15/04/2024,15/04/2024,6.80,5.0x,-,-,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
Locka Group AB,SmartCraft ASA,,2.07,15/04/2024,15/04/2024,2.07,0.6x,6.0x,-,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
Encore Wire Corp,Prysmian SpA,,"4,407.82",15/04/2024,02/07/2024,"4,407.82",1.6x,8.5x,9.2x,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
ERG S.p.A.,IFM Investors Pty Ltd,San Quirico S.r.l.,510.13,12/04/2024,12/04/2024,510.13,7.1x,10.1x,17.7x,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
Ozon Holdings plc,Vostok Investments (Vostok Investicii),Baring Vostok Capital Partners Ltd - BVCP,"2,258.03",12/04/2024,12/04/2024,"2,258.03",2.7x,218.6x,-,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
InPost SA,PPF Group NV,Advent International LP,784.50,12/04/2024,,784.50,4.4x,14.9x,25.9x,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
Food Circle Supermarket Ltd,Huddled Group plc,,0.35,12/04/2024,,0.35,0.2x,-,-,"Target Description: Renewable Energy: Diversified company with a focus on investment in solar photovoltaic (PV) plants, batteries, and other energy storage solutions and electric vehicle (EV) charging infrastructure, in addition to energy-efficient lighting, smart building and metering services, cogeneration plants, and heating, ventilation and air conditioning (HVAC) systems. | Deal Description: 6 Mar 24 - Aquila Energy Efficiency Trust plc, the listed United Kingdom based renewable energy company with a focus on investment in solar photovoltaic (PV) plants, batteries, and and electric vehicle (EV) charging infrastructure, proposed a tender offer to repurchase its shares for not less than £17.5m. 19 Apr 24 - Aquila disclosed the proposal to repurchase up to 18,561,732 shares at £0.9428 each, representing, 18.56% stake of the company. The total consideration is £17.5m. 13 May 24 - Tender offer approved by the shareholders. Deal completed."
Hu-Friedy Mfg Co LLC,Peak Rock Capital LLC,Steris plc,745.43,11/04/2024,31/05/2024,745.43,2.0x,-,9.3x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Lok'n Store Group plc,Shurgard Self Storage Ltd,,492.31,11/04/2024,01/08/2024,492.31,15.2x,29.5x,50.8x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
PharmaCielo Ltd.,Undisclosed Acquirer,,1.36,10/04/2024,,1.36,19.1x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
HydrogenPro AS,ANDRITZ AG,,7.13,10/04/2024,12/04/2024,7.13,1.8x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
e-Therapeutics Plc,"Richard Griffiths (Private Individual)
M&G plc",,33.76,10/04/2024,09/05/2024,33.76,266.9x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Gresham Technologies plc,Symphony Technology Group LLC,"Schroders plc
Amati Global Partners LLP
J O Hambro Capital Management Ltd",170.32,09/04/2024,17/07/2024,170.32,2.9x,25.7x,44.4x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Inin Group AS,Qben Infra AB,,79.50,08/04/2024,22/11/2024,79.50,1.3x,63.6x,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Staci SAS,bPost SA/NV,"Ardian France SA
Societe Generale Capital Partenaires SAS","1,300.00",05/04/2024,01/08/2024,"1,300.00",1.7x,11.8x,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Greenthesis SpA,PATRIZIA SE,Planesys,98.93,05/04/2024,21/10/2024,98.93,2.4x,10.2x,14.9x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Ascential Ltd,Ascential Ltd,,116.65,04/04/2024,04/04/2024,116.65,6.4x,25.1x,32.8x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Ascential Ltd,Ascential Ltd,,349.94,04/04/2024,10/05/2024,349.94,8.2x,32.2x,42.0x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Asensus Surgical Inc,Karl Storz SE & Co KG,,100.15,03/04/2024,22/08/2024,100.15,12.1x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Data Core Systems srl,Arctic Stream SA,,2.00,03/04/2024,,2.00,1.4x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
View Inc,"RXR Realty LLC
Cantor Fitzgerald LP
Creditors",,,02/04/2024,,,1.4x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Convex Capital Ltd,"Existing Management
Knights Group Holdings plc",RBG Holdings plc,3.04,28/03/2024,04/04/2024,3.04,1.2x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Total Foodservice Solutions Ltd,Kitwave Group plc,,24.48,28/03/2024,28/03/2024,24.48,0.8x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Spirent Communications plc,Keysight Technologies Inc,,"1,353.85",28/03/2024,,"1,353.85",2.9x,24.7x,41.5x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Carrefour SA,Carrefour SA,Galeries Lafayette SA,365.00,26/03/2024,03/06/2024,365.00,0.3x,5.2x,10.6x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
MariaDB plc,Progress Software Corp,,67.23,26/03/2024,,67.23,1.4x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Econis AG,WIIT S.p.A.,Renaissance Foundation,0.79,26/03/2024,06/05/2024,0.79,0.0x,0.4x,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
DS Smith plc,International Paper Co,,"9,028.16",26/03/2024,,"9,028.16",1.0x,7.1x,11.0x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Mortgage Brain Holdings Ltd,Fintel plc,,1.75,26/03/2024,26/03/2024,1.75,2.0x,-,-,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Micropole SA,Miramar Holding SAS,"BPCE Group
NextStage AM SAS",58.23,25/03/2024,,58.23,0.4x,8.8x,13.7x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Awardit AB,"Polaris Private Equity A/S
Filip Stig George Engelbert (Private Individual)
Jonas Rolf Nordlander (Private Individual)
Fayes Investeringar 1 AB
Niklas Lundqvist (Private Individual)
Samir Taha (Private Individual)",,17.73,25/03/2024,12/06/2024,17.73,0.9x,4.3x,25.3x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Target Hospitality Corp,TDR Capital LLP,,478.93,25/03/2024,,478.93,2.3x,4.0x,5.3x,"Target Description: Dental instrument manufacturer. | Deal Description: Peak Rock Capital LLC, the private equity firm, has agreed to acquire Hu-Friedy Mfg Co LLC, the United States based dental instrument manufacture of Steris plc, the local provider of surgical and critical care products and services. The consideration is $800m, which consist of $787.5m paid in cash, $12.5m paid as an earnout. The transaction is expected to close in Q1 2025, subject to customary closing conditions, including regulatory approvals. 31 May 24 - The transaction is complete."
Accrol Group Holdings plc,"Navigator Co
Navigator Paper UK Ltd",Bank Lombard Odier & Co Ltd,224.23,22/03/2024,24/05/2024,224.23,0.9x,12.4x,35.0x,"Target Description: Holding company focused on manufacturing household and sanitary soft tissue products. | Deal Description: 22 Mar 24 - Navigator Co, the Portugal based producer of cellulose, pulp and its derivative products has signed a definitive agreement to acquire through its subsidiary Navigator Paper UK Ltd, the United Kingdom based company specializing in premium office paper, Accrol Group Holdings plc, the listed United Kingdom based holding company focused on manufacturing household and sanitary soft tissue products through a scheme of arrangement. Lombard Odier Darier Hentsch & Cie, the Switzerland based private banking group offering investment banking and wealth management services has agreed to irrevocable undertakings to tender its 91,403,124 shares representing approximately 27.24% of Accrol's issued share capital. The consideration was £127.4689m ($162.26m) at an offer price of 38 pence. The transaction is valued at £189.0379 ($240.64m) including net debt. Directors of Accrol Group intend to recommend unanimously that Accrol Shareholders vote in favor of the Scheme and have agreed to tender their 17,124,230 shares representing 5.1% of Accrol's issued share capital in the offer. The transaction is expected to close in Q2 2024, subject to Accrol shareholders approval, sanction of the Scheme by the Court and the Scheme becoming Effective by no later than the Long Stop Date. 03 May 24 - Navigator Co, the Portugal based producer of cellulose, pulp and its derivative products has revised its offer price from 38 pence to 39 pence per share of Accrol Group Holdings plc, the United Kingdom based holding company focused on manufacturing household and sanitary soft tissue products. The revised consideration is £130.8234m and the transaction is valued at £192.39m ($242.66m) including net debt. 15 May 24 - The transaction has been approved by Accrol shareholders and the Court meeting. The increased offer is still subject to Court sanction and is expected to close by 24 May 24. 24 May 24 - Deal completed as the scheme had been sanctioned."
Aalborg Boldspilklub A/S,Sports Strategy Excellence 22 GmbH & Co KG,,6.09,21/03/2024,17/06/2024,6.09,1.6x,-,-,"Target Description: Holding company focused on manufacturing household and sanitary soft tissue products. | Deal Description: 22 Mar 24 - Navigator Co, the Portugal based producer of cellulose, pulp and its derivative products has signed a definitive agreement to acquire through its subsidiary Navigator Paper UK Ltd, the United Kingdom based company specializing in premium office paper, Accrol Group Holdings plc, the listed United Kingdom based holding company focused on manufacturing household and sanitary soft tissue products through a scheme of arrangement. Lombard Odier Darier Hentsch & Cie, the Switzerland based private banking group offering investment banking and wealth management services has agreed to irrevocable undertakings to tender its 91,403,124 shares representing approximately 27.24% of Accrol's issued share capital. The consideration was £127.4689m ($162.26m) at an offer price of 38 pence. The transaction is valued at £189.0379 ($240.64m) including net debt. Directors of Accrol Group intend to recommend unanimously that Accrol Shareholders vote in favor of the Scheme and have agreed to tender their 17,124,230 shares representing 5.1% of Accrol's issued share capital in the offer. The transaction is expected to close in Q2 2024, subject to Accrol shareholders approval, sanction of the Scheme by the Court and the Scheme becoming Effective by no later than the Long Stop Date. 03 May 24 - Navigator Co, the Portugal based producer of cellulose, pulp and its derivative products has revised its offer price from 38 pence to 39 pence per share of Accrol Group Holdings plc, the United Kingdom based holding company focused on manufacturing household and sanitary soft tissue products. The revised consideration is £130.8234m and the transaction is valued at £192.39m ($242.66m) including net debt. 15 May 24 - The transaction has been approved by Accrol shareholders and the Court meeting. The increased offer is still subject to Court sanction and is expected to close by 24 May 24. 24 May 24 - Deal completed as the scheme had been sanctioned."
