Fonds,Pays / Info,Secteurs,Position,Véhicules,Catégorie,Géographie d'investissement,HQ,Bureaux,"Ticket 
(m€)","Ticket Min 
(m€)","Ticket Max
(m€)",Type d'investissement,Contact,Contact qualifié (Oui/Non),Appétence pour secteur,Thèse d'investissement (VE/EBITDA cible),Approché dans Opérations D&A ,Sources,Plaquette ,Commentaires
Allemagne - PE specialist,Technologie,BID EQUITY |  Allemagne - PE specialist 1 (Majoritaire) Ticket unitaire:  5 - 50 M€    VE:  5 - 50 M€ Secteur:  Technologie Zones géographiques:  DACH,,,,,,,,,,,,,,,,,,
Espagne - PE specialist,"Internet et e-commerce, , , , , , , , , , , , , , , ","REALZA CAPITAL |  Espagne - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  15 - 25 M€    VE:  20 - 100 M€ Secteur:  Internet et e-commerce    Technologie    Services aux Particuliers / Entreprises    Transport et Logistique    Industrie    Agroalimentaire    Biens de consommation    Distribution aux Particuliers / Entreprises    Automobile    Energie et Environnement    Telecom    Divertissement / Loisir / Restauration    Aéronautique et Défense    Chimie et Matériaux primaires    BTP / Construction    Santé Zones géographiques:  Espagne    Portugal",,,,,,,,,,,,,,,,,,
Espagne - PE specialist,Tous secteurs,ABAC CAPITAL |  Espagne - PE specialist 1 (Majoritaire) Ticket unitaire:  20 - 50 M€    VE:  50 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  Espagne,,,,,,,,,,,,,,,,,,
France - PE specialist,Services aux Particuliers / Entreprises,MOMENTUM INVEST |  France - PE specialist 1 (Minoritaire) Ticket unitaire:  3 - 15 M€    VE:  10 - 100 M€ Secteur:  Services aux Particuliers / Entreprises Zones géographiques:  France,,,,,,,,,,,,,,,,,,
Espagne - PE specialist,"Tous secteurs, Tous secteurs","GRUPO FINANCIERO RIVA Y GARCIA |  Espagne - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 20 M€    VE:  5 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Afrique 2 (Venture) Ticket unitaire:  1 - 10 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Afrique",,,,,,,,,,,,,,,,,,
Allemagne - Family Office,Tous secteurs,LIBERTA PARTNERS MANAGEMENT |  Allemagne - Family Office 1 (Majoritaire) Ticket unitaire:  0 - 15 M€    VE:  0 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  DACH,,,,,,,,,,,,,,,,,,
Suisse - PE specialist,Tous secteurs,"RENAISSANCE |  Suisse - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  2 - 25 M€    VE:  5 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Suisse",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"AKOYA CAPITAL |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 90 M€    VE:  45 - 450 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis",,,,,,,,,,,,,,,,,,
Canada - Family Office,"Distribution aux Particuliers / Entreprises, , , ","SERRUYA PRIVATE EQUITY |  Canada - Family Office 1 (Minoritaire, Venture, Majoritaire) Ticket unitaire:  10 - 80 M€    VE:  5 - 1 000 M€ Secteur:  Distribution aux Particuliers / Entreprises    Automobile    Santé    Agroalimentaire Zones géographiques:  Etats-Unis    Canada",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Technologie,RUBICON TECHNOLOGY PARTNERS |  Etats-Unis - PE specialist 1 (Majoritaire) Ticket unitaire:  40 - 150 M€    VE:  20 - 100 M€ Secteur:  Technologie Zones géographiques:  Toutes zones géographiques,,,,,,,,,,,,,,,,,,
Pologne - PE specialist,Tous secteurs,"AVALLON |  Pologne - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  4 - 25 M€    VE:  10 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Europe Centrale et de l'Est",,,,,,,,,,,,,,,,,,
Pologne - PE specialist,"Technologie, Industrie","WARSAW EQUITY GROUP |  Pologne - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  4 - 15 M€    VE:  5 - 50 M€ Secteur:  Technologie    Industrie Zones géographiques:  Europe Centrale et de l'Est",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Services aux Particuliers / Entreprises, , ","CID CAPITAL |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 40 M€    VE:  15 - 80 M€ Secteur:  Services aux Particuliers / Entreprises    Industrie    Biens de consommation Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Services aux Particuliers / Entreprises, , , , , ","CIC PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 45 M€    VE:  45 - 600 M€ Secteur:  Services aux Particuliers / Entreprises    Energie et Environnement    Divertissement / Loisir / Restauration    Industrie    Biens de consommation    Santé Zones géographiques:  Etats-Unis",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Technologie, Services aux Particuliers / Entreprises, , , , ","DC CAPITAL PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  20 - 60 M€    VE:  40 - 80 M€ Secteur:  Technologie    Services aux Particuliers / Entreprises    Energie et Environnement    Transport et Logistique    Aéronautique et Défense    BTP / Construction Zones géographiques:  Etats-Unis",,,,,,,,,,,,,,,,,,
Hongrie - PE specialist,"Tous secteurs, Tous secteurs","SZÉCHENYI ALAPOK |  Hongrie - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  3 - 40 M€    VE:  3 - 80 M€ Secteur:  Tous secteurs Zones géographiques:  Hongrie 2 (Venture) Ticket unitaire:  1 - 5 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Hongrie",,,,,,,,,,,,,,,,,,
Lettonie - PE specialist,Tous secteurs,"LIVONIA PARTNERS |  Lettonie - PE specialist 1 (Minoritaire, Majoritaire, Mezzanine) Ticket unitaire:  3 - 25 M€    VE:  10 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Lituanie    Estonie    Lettonie",,,,,,,,,,,,,,,,,,
Finlande - PE specialist,Tous secteurs,SPONSOR CAPITAL |  Finlande - PE specialist 1 (Majoritaire) Ticket unitaire:  5 - 30 M€    VE:  15 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  Finlande    Europe du Nord,,,,,,,,,,,,,,,,,,
France - PE specialist,Tous secteurs,"VESPA CAPITAL FRANCE |  France - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 20 M€    VE:  15 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"ENCORE CAPITAL |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  1 - 10 M€    VE:  5 - 25 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
France - PE specialist,Tous secteurs,PERCEVA |  France - PE specialist 1 (Retournement) Ticket unitaire:  5 - 100 M€    VE:  30 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  France,,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"NEO INVESTMENT PARTNERS |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  1 - 35 M€    VE:  5 - 90 M€ Secteur:  Tous secteurs Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"PENTA CAPITAL |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 250 M€    VE:  10 - 450 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,VOLPI CAPITAL |  Angleterre - PE specialist 1 (Majoritaire) Ticket unitaire:  10 - 75 M€    VE:  50 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Europe,,,,,,,,,,,,,,,,,,
Allemagne - PE specialist,"Distribution aux Particuliers / Entreprises, , , , , , ",BEYOND CAPITAL PARTNERS |  Allemagne - PE specialist 1 (Majoritaire) Ticket unitaire:  5 - 45 M€    VE:  5 - 50 M€ Secteur:  Distribution aux Particuliers / Entreprises    Divertissement / Loisir / Restauration    Technologie    Services aux Particuliers / Entreprises    Internet et e-commerce    Média    Santé Zones géographiques:  Autriche    Allemagne    Suisse,,,,,,,,,,,,,,,,,,
Italie - PE specialist,Tous secteurs,IGI PRIVATE EQUITY |  Italie - PE specialist 1 (Majoritaire) Ticket unitaire:  10 - 25 M€    VE:  100 - 600 M€ Secteur:  Tous secteurs Zones géographiques:  Italie,,,,,,,,,,,,,,,,,,
Italie - PE specialist,"Industrie, Biens de consommation, , , ",CONSILIUM |  Italie - PE specialist 1 (Majoritaire) Ticket unitaire:  10 - 22 M€    VE:  20 - 80 M€ Secteur:  Industrie    Biens de consommation    Automobile    Distribution aux Particuliers / Entreprises    Internet et e-commerce Zones géographiques:  Italie,,,,,,,,,,,,,,,,,,
Allemagne - Family Office,"Industrie, Biens de consommation, , ",ADCURAM |  Allemagne - Family Office 1 (Majoritaire) Ticket unitaire:  5 - 30 M€    VE:  50 - 150 M€ Secteur:  Industrie    Biens de consommation    Distribution aux Particuliers / Entreprises    BTP / Construction Zones géographiques:  DACH,,,,,,,,,,,,,,,,,,
Italie - PE specialist,Tous secteurs,FSI |  Italie - PE specialist 1 (Minoritaire) Ticket unitaire:  70 - 150 M€    VE:  100 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Italie,,,,,,,,,,,,,,,,,,
Suède - PE specialist,Tous secteurs,VARENNE INVESTMENT |  Suède - PE specialist 1 (Minoritaire) Ticket unitaire:  20 - 50 M€    VE:  50 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Scandinavie,,,,,,,,,,,,,,,,,,
Suisse - Family Office,"Transport et Logistique, , , , , , , , , , , , , , , , , ","VERIUM |  Suisse - Family Office 1 (Minoritaire, Majoritaire) Ticket unitaire:  8 - 20 M€    VE:  20 - 80 M€ Secteur:  Transport et Logistique    Immobilier    Aéronautique et Défense    Divertissement / Loisir / Restauration    Internet et e-commerce    Services aux Particuliers / Entreprises    Technologie    Telecom    Chimie et Matériaux primaires    Energie et Environnement    Industrie    Automobile    Biens de consommation    Agroalimentaire    Distribution aux Particuliers / Entreprises    BTP / Construction    Média    Santé Zones géographiques:  DACH",,,,,,,,,,,,,,,,,,
Irlande - PE specialist,Tous secteurs,"CARDINAL CAPITAL GROUP |  Irlande - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 50 M€    VE:  20 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Irlande",,,,,,,,,,,,,,,,,,
Italie - PE specialist,"Distribution aux Particuliers / Entreprises, , , Distribution aux Particuliers / Entreprises, , ","PRIVATE EQUITY PARTNERS |  Italie - PE specialist 1 (Venture) Ticket unitaire:  0 - 10 M€    VE:  0 - 0 M€ Secteur:  Distribution aux Particuliers / Entreprises    Services aux Particuliers / Entreprises    Internet et e-commerce Zones géographiques:  Italie 2 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 30 M€    VE:  20 - 300 M€ Secteur:  Distribution aux Particuliers / Entreprises    Services aux Particuliers / Entreprises    Internet et e-commerce Zones géographiques:  Italie",,,,,,,,,,,,,,,,,,
Suède - Family Office,Tous secteurs,"R12 KAPITAL |  Suède - Family Office 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 500 M€    VE:  10 - 3 000 M€ Secteur:  Tous secteurs Zones géographiques:  Scandinavie",,,,,,,,,,,,,,,,,,
Allemagne - Family Office,Tous secteurs,LIVIA CORPORATE DEVELOPMENT |  Allemagne - Family Office 1 (Majoritaire) Ticket unitaire:  20 - 500 M€    VE:  100 - 2 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe de l'Ouest,,,,,,,,,,,,,,,,,,
Allemagne - PE specialist,"Industrie, Santé","AGIC CAPITAL |  Allemagne - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  50 - 250 M€    VE:  100 - 500 M€ Secteur:  Industrie    Santé Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Divertissement / Loisir / Restauration, , , Divertissement / Loisir / Restauration, , ",BESTPORT PRIVATE EQUITY |  Angleterre - PE specialist 1 (Venture) Ticket unitaire:  2 - 10 M€    VE:  0 - 0 M€ Secteur:  Divertissement / Loisir / Restauration    Technologie    Services aux Particuliers / Entreprises Zones géographiques:  Royaume-Uni 2 (Minoritaire) Ticket unitaire:  5 - 45 M€    VE:  10 - 100 M€ Secteur:  Divertissement / Loisir / Restauration    Technologie    Services aux Particuliers / Entreprises Zones géographiques:  Royaume-Uni,,,,,,,,,,,,,,,,,,
Espagne - PE specialist,Tous secteurs,"ESPIGA CAPITAL |  Espagne - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  8 - 20 M€    VE:  15 - 60 M€ Secteur:  Tous secteurs Zones géographiques:  Espagne",,,,,,,,,,,,,,,,,,
Espagne - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs","GALA CAPITAL |  Espagne - PE specialist 1 (Minoritaire) Ticket unitaire:  20 - 50 M€    VE:  5 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Espagne 2 (Venture, Venture (Seed)) Ticket unitaire:  5 - 20 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Espagne 3 (Minoritaire) Ticket unitaire:  30 - 300 M€    VE:  100 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Espagne",,,,,,,,,,,,,,,,,,
Allemagne - PE specialist,Tous secteurs,"EMH PARTNERS |  Allemagne - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  50 - 150 M€    VE:  50 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Allemagne    Suisse    Autriche",,,,,,,,,,,,,,,,,,
Allemagne - Family Office,Tous secteurs,"WIELAND CAPITAL |  Allemagne - Family Office 1 (Majoritaire, Minoritaire) Ticket unitaire:  2 - 10 M€    VE:  5 - 30 M€ Secteur:  Tous secteurs Zones géographiques:  DACH",,,,,,,,,,,,,,,,,,
Belgique - PE specialist,Tous secteurs,"INTEGRA |  Belgique - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  1 - 15 M€    VE:  15 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Belgique",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Agroalimentaire,LASALLE CAPITAL |  Etats-Unis - PE specialist 1 (Majoritaire) Ticket unitaire:  10 - 25 M€    VE:  15 - 90 M€ Secteur:  Agroalimentaire Zones géographiques:  Etats-Unis,,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,ARGONNE CAPITAL GROUP |  Etats-Unis - PE specialist 1 (Majoritaire) Ticket unitaire:  10 - 80 M€    VE:  80 - 80 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis,,,,,,,,,,,,,,,,,,
Canada - PE specialist,"Technologie, Divertissement / Loisir / Restauration, , , ","CLEARSPRING CAPITAL PARTNERS |  Canada - PE specialist 1 (Venture, Majoritaire, Minoritaire) Ticket unitaire:  15 - 50 M€    VE:  50 - 150 M€ Secteur:  Technologie    Divertissement / Loisir / Restauration    Immobilier    Industrie    Santé Zones géographiques:  Etats-Unis    Canada",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Services Financiers,"ATLAS MERCHANT CAPITAL |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  80 - 400 M€    VE:  150 - 2 000 M€ Secteur:  Services Financiers Zones géographiques:  Amérique du Nord    Europe",,,,,,,,,,,,,,,,,,
Etats-Unis - Family Office,Tous secteurs,"BERGGRUEN HOLDINGS |  Etats-Unis - Family Office 1 (Venture (Serie A), Venture, Venture (Seed), Majoritaire, Venture (Serie B/C), Venture (Growth), Minoritaire) Ticket unitaire:  10 - 150 M€    VE:  10 - 400 M€ Secteur:  Tous secteurs Zones géographiques:  Toutes zones géographiques",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"COVE HILL PARTNERS |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  40 - 200 M€    VE:  150 - 800 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord    Europe de l'Ouest",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"LIGHTBAY CAPITAL |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  20 - 150 M€    VE:  80 - 400 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Services aux Particuliers / Entreprises, , ","CIP CAPITAL |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  15 - 100 M€    VE:  25 - 150 M€ Secteur:  Services aux Particuliers / Entreprises    Technologie    Santé Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Services aux Particuliers / Entreprises, , ","CRESSEY & COMPANY |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  80 - 150 M€    VE:  80 - 400 M€ Secteur:  Services aux Particuliers / Entreprises    Technologie    Santé Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Services aux Particuliers / Entreprises, ","PARKERGALE |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 15 M€    VE:  10 - 40 M€ Secteur:  Services aux Particuliers / Entreprises    Technologie Zones géographiques:  Etats-Unis",,,,,,,,,,,,,,,,,,
Belgique - PE specialist,Tous secteurs,"FIN.CO |  Belgique - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  2 - 10 M€    VE:  10 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Benelux",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Services aux Particuliers / Entreprises, ","LONGACRE GROUP |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 30 M€    VE:  5 - 60 M€ Secteur:  Services aux Particuliers / Entreprises    Industrie Zones géographiques:  DACH    Pays-Bas    Royaume-Uni",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Services aux Particuliers / Entreprises, , ","RJD PARTNERS |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 25 M€    VE:  10 - 60 M€ Secteur:  Services aux Particuliers / Entreprises    Biens de consommation    Tous secteurs Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Technologie, Services aux Particuliers / Entreprises, , , , ","COLUMNA CAPITAL |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  35 - 80 M€    VE:  60 - 100 M€ Secteur:  Technologie    Services aux Particuliers / Entreprises    Agroalimentaire    Internet et e-commerce    Industrie    Santé Zones géographiques:  Europe du Sud    Europe",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"LIMERSTON CAPITAL PARTNERS |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  25 - 60 M€    VE:  60 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Tous secteurs, Tous secteurs","KINGSLEY CAPITAL PARTNERS |  Angleterre - PE specialist 1 (Minoritaire) Ticket unitaire:  0 - 5 M€    VE:  0 - 10 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni 2 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 15 M€    VE:  10 - 60 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Ecosse - PE specialist,Tous secteurs,"CORALINN PRIVATE EQUITY |  Ecosse - PE specialist 1 (Venture, Majoritaire, Minoritaire) Ticket unitaire:  0 - 10 M€    VE:  10 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni    Ecosse",,,,,,,,,,,,,,,,,,
Luxembourg - PE specialist,Tous secteurs,"EQUINOX INVESTMENTS |  Luxembourg - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 50 M€    VE:  20 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Italie",,,,,,,,,,,,,,,,,,
Danemark - PE specialist,Tous secteurs,DANSK GENERATIONSSKIFTE |  Danemark - PE specialist 1 (Majoritaire) Ticket unitaire:  5 - 20 M€    VE:  20 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Danemark,,,,,,,,,,,,,,,,,,
Suède - PE specialist,"Chimie et Matériaux primaires, , , , , , , , , , , , , , , , , ",BURE EQUITY |  Suède - PE specialist 1 (Majoritaire) Ticket unitaire:  15 - 100 M€    VE:  100 - 500 M€ Secteur:  Chimie et Matériaux primaires    Divertissement / Loisir / Restauration    Internet et e-commerce    Santé    BTP / Construction    Média    Transport et Logistique    Biens de consommation    Industrie    Services Financiers    Automobile    Energie et Environnement    Aéronautique et Défense    Services aux Particuliers / Entreprises    Agroalimentaire    Technologie    Distribution aux Particuliers / Entreprises    Telecom Zones géographiques:  Scandinavie 2 (Majoritaire) Ticket unitaire:  300 - 500 M€    VE:  300 - 700 M€ Secteur:  Zones géographiques:  Scandinavie,,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Services aux Particuliers / Entreprises, , , ","MAGENTA PARTNERS |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 25 M€    VE:  5 - 100 M€ Secteur:  Services aux Particuliers / Entreprises    Média    Technologie    Services Financiers Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Italie - PE specialist,Tous secteurs,"ARCADIA |  Italie - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 15 M€    VE:  10 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Italie",,,,,,,,,,,,,,,,,,
Italie - PE specialist,Tous secteurs,COOPERARE |  Italie - PE specialist 1 (Minoritaire) Ticket unitaire:  4 - 20 M€    VE:  10 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Italie,,,,,,,,,,,,,,,,,,
Autriche - PE specialist,"Tous secteurs, Tous secteurs","ALPINE EQUITY |  Autriche - PE specialist 1 (Majoritaire, Minoritaire, Mezzanine) Ticket unitaire:  5 - 10 M€    VE:  15 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  DACH 2 (Venture) Ticket unitaire:  0 - 5 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  DACH",,,,,,,,,,,,,,,,,,
Belgique - PE specialist,Services aux Particuliers / Entreprises,"FALCON FUND |  Belgique - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  0 - 20 M€    VE:  10 - 200 M€ Secteur:  Services aux Particuliers / Entreprises Zones géographiques:  Belgique",,,,,,,,,,,,,,,,,,
Italie - PE specialist,Tous secteurs,"SYNERGO SGR |  Italie - PE specialist 1 (Venture, Majoritaire, Minoritaire) Ticket unitaire:  20 - 50 M€    VE:  50 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  Italie",,,,,,,,,,,,,,,,,,
Allemagne - Family Office,Tous secteurs,"VORNDRAN MANNHEIMS CAPITAL (VM) |  Allemagne - Family Office 1 (Majoritaire, Minoritaire) Ticket unitaire:  3 - 25 M€    VE:  20 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  DACH",,,,,,,,,,,,,,,,,,
Suisse - PE specialist,"Automobile, Transport et Logistique, , ",CGS MANAGEMENT |  Suisse - PE specialist 1 (Majoritaire) Ticket unitaire:  5 - 45 M€    VE:  5 - 70 M€ Secteur:  Automobile    Transport et Logistique    Technologie    Industrie Zones géographiques:  DACH,,,,,,,,,,,,,,,,,,
Portugal - PE specialist,Tous secteurs,"CREST CAPITAL PARTNERS |  Portugal - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  2 - 10 M€    VE:  10 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Portugal",,,,,,,,,,,,,,,,,,
Portugal - PE specialist,"Tous secteurs, Tous secteurs","VALLIS CAPITAL PARTNERS |  Portugal - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 15 M€    VE:  20 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Portugal    Espagne 2 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 20 M€    VE:  20 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Portugal    Espagne",,,,,,,,,,,,,,,,,,
France - PE specialist,Tous secteurs,"B & CAPITAL |  France - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 30 M€    VE:  25 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Pays-Bas - PE specialist,Tous secteurs,"DM EQUITY PARTNERS |  Pays-Bas - PE specialist 1 (Majoritaire, Minoritaire, Mezzanine) Ticket unitaire:  5 - 25 M€    VE:  10 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Pays-Bas",,,,,,,,,,,,,,,,,,
Allemagne - PE specialist,"Transport et Logistique, ","ACCURSIA CAPITAL |  Allemagne - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 10 M€    VE:  20 - 250 M€ Secteur:  Transport et Logistique    Industrie Zones géographiques:  DACH    Europe",,,,,,,,,,,,,,,,,,
Autriche - Family Office,Tous secteurs,"AUSTRO HOLDING |  Autriche - Family Office 1 (Majoritaire, Minoritaire) Ticket unitaire:  2 - 7 M€    VE:  15 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  Autriche",,,,,,,,,,,,,,,,,,
Suisse - Family Office,Tous secteurs,"DECALIA |  Suisse - Family Office 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 30 M€    VE:  30 - 90 M€ Secteur:  Tous secteurs Zones géographiques:  Suisse",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"APIARY CAPITAL |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 80 M€    VE:  60 - 600 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"AZALEA CAPITAL |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  25 - 150 M€    VE:  150 - 400 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Santé,"AMULET CAPITAL PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  20 - 150 M€    VE:  80 - 2 000 M€ Secteur:  Santé Zones géographiques:  Europe    Amérique",,,,,,,,,,,,,,,,,,
Canada - PE specialist,Tous secteurs,"ALTAS PARTNERS |  Canada - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  70 - 350 M€    VE:  350 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"LONG POINT CAPITAL |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 45 M€    VE:  20 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
